postalcode	city	community	identifer	usercount
11545	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	131
11546	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	25
11547	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	6
11550	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	105
11551	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	17
11553	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	95
11557	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	132
11558	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	83
11559	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	94
11560	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	65
11620	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	100
11621	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	54
11622	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	106
11623	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	92
11624	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	91
11625	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	73
11628	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	69
11629	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	94
11630	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	101
11631	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	129
11632	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	115
11633	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	124
11634	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	142
11635	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	108
11636	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	105
11637	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	75
11638	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	126
11639	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	83
11640	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	127
11641	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	70
11642	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	90
11643	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	40
11644	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	53
11645	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	7
11646	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	53
11647	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	27
11648	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	32
11661	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	93
11662	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	92
11663	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	141
11664	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	97
11665	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	100
11666	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	58
11667	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	92
11668	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	46
11726	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	100
11727	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	166
11728	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	120
11729	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	93
11730	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	137
11731	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	81
11732	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	113
11733	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	99
11734	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	94
11735	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	98
11736	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	123
11737	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	136
11738	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	94
11739	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	139
11740	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	49
11741	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	89
11750	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	73
11756	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	84
11757	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	47
11758	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	111
11759	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	139
11760	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	124
11761	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	129
11762	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	69
11763	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	83
11764	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	103
11765	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	75
11766	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	66
11767	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	115
11768	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	96
11769	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	78
11820	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	30
11821	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	71
11822	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	90
11823	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	76
11824	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	112
11825	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	103
11826	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	64
11827	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	117
11828	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	70
11829	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	65
11830	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	134
11842	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	69
11846	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	76
11847	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	67
11848	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	94
11849	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	84
11850	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	119
11851	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	73
11851	Bromma	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	1
11852	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	103
11853	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	120
11854	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	113
11855	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	62
11856	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	88
11857	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	112
11858	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	91
11859	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	109
11860	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	34
11861	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	78
11862	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	76
11863	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	63
11864	Stockholm	Stockholm	75a78d85-7469-4eb9-98cf-785f09134fee	56
